image_path,phase_label,movement_type
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0019.jpeg,nothing,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0020.jpeg,nothing,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0021.jpeg,nothing,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0022.jpeg,start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0023.jpeg,start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0024.jpeg,start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0025.jpeg,start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0026.jpeg,start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0027.jpeg,start,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0028.jpeg,first_pull,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0029.jpeg,first_pull,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0030.jpeg,first_pull,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0031.jpeg,first_pull,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0032.jpeg,first_pull,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0033.jpeg,first_pull,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0034.jpeg,first_pull,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0035.jpeg,first_pull,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0036.jpeg,first_pull,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0037.jpeg,first_pull,FCJ
processed_data\Player 1\FCJ\Player01_FCJ_Set_01\Player01_FCJ_40Kg_front_view\skeletons\skeleton_frame_0038.jpeg,Transition,FCJ
